PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
KOENIG METALL d.o.o. Ivanjica,KOENIG METALL d.o.o.,Bukovica BB 32250 IVANJICA,21567086,111908849,840-0000049958763-91,Društvo sa ograničenom odgovornošću,11.3.2020.,Proizvodnja metalnih konstrukcija i delova konstrukcija,,, management@koenigmetall.rs,Bave se proizvodnjom I obradom metalnih cevi metalnih delova za potrebe mašinske elektro I automobilske industrije.,METALNE KONSTRUKCIJE,Quality Manager,Ivan Stevanić,https://www.linkedin.com/in/ivan-stevanic,,,Plant Manager,Aleksa Mančić,https://www.linkedin.com/in/aleksa-mancic,,,Quality System,Marko Kušić,https://www.linkedin.com/in/marko-kušić,,,Direktor proizvonje,Dragan Tankosić,,+381 60 065 17 14,dragantankosic@gmail.com,06-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MINI-INŽENJERING D.O.O. INĐIJA,MINI-INŽENJERING D.O.O. INĐIJA,Kralja Petra I 184 22320 Inđija,08291462,101800686,250-1070001945770-41,Društvo sa ograničenom odgovornošću,21.2.1992.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 22 551 214 -proizvodnja+381 22 559 214 -administracija,, info@mini-ing.biz,Preduzeće se bavi i proizvodnjom industrijske opreme i delova za opremu po narudžbini kupca i po njegovoj specifikaciji (pomoćna oprema i metali inventar prenosni sistemi kontejneri i sl. USLUGE:Metalne konstrukcije Hale NadstrešniceMetalni nameštaj Stolice Stolovi LjuljaškeSečenje i savijanje cevi i limovaCNC plazma sečenjeSečenje laseromIzrada po dokumentacijiInženjeringGrađevinska bravarijaPlastifikacijaOstali bravarski radovi,METALNE KONSTRUKCIJE,Direktor,Nikola Mrđa,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,21-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA MONTAŽU PROIZVODNJU I TRGOVINU MONTAVAR METALNA LOLA DOO BEOGRAD,MONTAVAR METALNA LOLA DOO BEOGRAD,JUGOSLOVENSKA 2 11250 BEOGRAD,17247638,100209710,160-0000000357843-46,Društvo sa ograničenom odgovornošću,26.1.2000.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 11 4143 886,, office@montavar.rs,USLUGE:predfabrikacija/izrada i montaža cevovoda zavarenih čeličnih konstrukcija opreme pod pritiskom pružanje usluga mašinske obrade projektovanje i proizvodnja druge mašinske opreme i rezervnih delova za rudnike rafinerije hemijska postrojenja hidro i termo elektrane inženjering do predfabrikacije montaže i faze pred-puštanja u rad.,METALNE KONSTRUKCIJE,QA / QC Manager, Zoran Poznanović,,+381 60 2545 072+381 11 414 3888,zoran.poznanovic@montavar.rs,Quality Control Engineer,Marko Petrović,https://www.linkedin.com/in/markopetrovic94,,,General Manager,Dalibor Dzogaz,https://www.linkedin.com/in/dalibor-dzogaz,,,Project manager,,,,,08-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MONTING d.o.o.,MONTING d.o.o.,Svetice 21 10000 Zagreb,50374895710,080272494,,Društvo s ograničenom odgovornošću za proizvodnju i montažu,1998,Proizvodnja metalnih konstrukcija i njihovih dijelova,+385 1 2356 100,www.monting.hr , monting@monting.hr,USLUGE:Proizvodnja izgradnja inženjering edukacija savjetovanje puštanje u rad Bave se izradom delova za konstrukciju postrojenja (uključujući izolaciju).Inženjerski poslovi: montaža cevovoda čeličnih konstrukcija spremnika i silosa neserijska oprema u brodogradnji (teretni brodovi tegljači remont trupa) vanserijska oprema za potrebe šljunčara hrana i drvne industrije i drugih pogona.Svoje usluge pružaju elektranama plinski elektranama kombinovanim elektranama industrijskim postrojenjima petrohemijskim postrojenjima hemijskim postrojenjima postrojenjima prehrambene industrije postrojenjima industrije gnojiva i brodogradilištu.,METALNE KONSTRUKCIJE,Chief Operating Officer,Mario Cavor,https://www.linkedin.com/in/mario-cavor,,,Operating Engineer,Tomislav Kolić,/tomislav-kolić,,,Direktor kvaliteta,,,,,Project manager,Miroslav Barišić,/mirosla-barišić,,,10-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU MONTAŽU I TRGOVINU PROMONT DOO BEOČIN,PROMONT DOO BEOČIN,Cementaška 3 21300 Beočin,09156011,101252329,340-0000011016985-76,Društvo sa ograničenom odgovornošću,9.6.2000.,Proizvodnja metalnih konstrukcija i delova konstrukcija,,promont.beocin@gmail.com,,Bave se poslovima izrade i montaže čeličnih konstrukcija i opreme u industrijskim i stambenim objektima.,METALNE KONSTRUKCIJE,Direktor,Zoran Janićević,https://www.linkedin.com/in/zoran-janićević,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,24-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
REMMING DOO ZA REMONT MONTAŽU I INŽENJERING SRBOBRAN,REMMING DOO SRBOBRAN,LIST FERENCA 2 21480 Srbobran,08214379,101425093,160-0050100247531-10,Društvo sa ograničenom odgovornošću,24.9.1990.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 21 548 151- Administracija+381 21 548 152- Administracija+381 21 870 676- Pogon+381 21 870 677- Pogon,, info@remming.co.rs,Bave se uslugama inženjeringa izrade montaže i servisiranje kotlova.PROIZVODI:Vodocevni kotlovi:Dimocevni kotlovi:Razmenjivači toplotePosude pod pritiskomČelične konstrukcijeCevovodiMontažaDeloviKompletna postrojenjaProjektovanjeAleksandar AnđušićDragan Cvetićanin,METALNE KONSTRUKCIJE,Quality Manager,Dušan Jokić,https://www.linkedin.com/in/dusan-jokic,,,Head Of Production,Mladen Popović,https://www.linkedin.com/in/mladen-popović,,,Quality Control Engineer,Maria Trisa,https://www.linkedin.com/in/maria-trisa,,,Managing Director,Dragan Cveticanin,https://www.linkedin.com/in/dragan-cveticanin-dr-ing,,,11-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO ZA PROIZVODNJU PRUŽANJE USLUGA I PROMET ROBE RUMEKON DOO RUMA,RUMEKON DOO RUMA,Potes Rumska petlja 12 22400 RUMA,20257997,104871911,160-0053400003838-32,Društvo sa ograničenom odgovornošću,6.2.2007.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 22 490 087,, info@rumekon.rs,Osnovna delatnost je izrada proizvoda iz asortimana ekološkog programa sitos programa čeličnih konstrukcija.,METALNE KONSTRUKCIJE,Generalni direktor,Dragan Stupar,https://www.linkedin.com/in/stuparmarko,,,Commercial and office manager,Marina Marković,https://www.linkedin.com/in/marina-markovic,,,Administrativni radnik,Nada Stupar,,+381 22 49 00 77,nada.stupar@rumekon.rs,Project manager,,,,,21-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PRIVREDNO DRUŠTVO ZA PROIZVODNJU TRGOVINU I USLUGE SANVI DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU TRSTENIK,SANVI DOO TRSTENIK,RADNIČKA 3 37240 TRSTENIK,07678932,101307213,160-6000001480271-90,Društvo sa ograničenom odgovornošću,10.10.1991.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 37 717 700,, office@sanvi.co.rs,Bave se proizvodnjom i prodajom hidrauličkih i pneumatičkih cilindara. Vrše i usluge mašinske obrade materijala zavarivanje i hromiranje.PROIZVODI:Hidraulični cilindriDelovi za hidraulične cilindriZaptivni materialVazdušni hladnjaciLoptaste slavineLežajeviTENOLOGIJE:- CNC Struganje- Unutrašnje brušenje- Glodanje CNC- Spoljašenje cilindrično brušenje,METALNE KONSTRUKCIJE,Vlasnik,Aleksandar Stanić,https://www.linkedin.com/in/aleksandar-stanic,+381 63 626 386,a.stanic@sanvi.co.rs,Proizvodnja,Novica Pantović,,+381 37 717 700,,Prodaja, Slavica Trailović,,+381 37 710 085,,Project manager,,,,,03-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
STEEL SERVICE CENTER DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I USLUGE SMEDEREVO,SSC DOO SMEDEREVO,STARCA VUJADINA 27 11300 SMEDEREVO,06130488,100967964,160-0000000371095-60,Društvo sa ograničenom odgovornošću,31.7.1992.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 (0)26 46 31 690+381 (0)26 46 21 690,, OFFICE@SSC.RSOFFICE@STEELSERVICECENTER.CO.RS,Bave se trgovinom i preradom materijala crne metalurgije.Proizvode za sledeće industrije:industriju konstrukcijanaftnu i gasnu industrijutransportnu industriju (brodogradnja vagonogradnja izrada kontejnera)mašinogradnjuindustriju poljoprivrednih mašinaautoindustrijuenergetikurudarstvoindustriju kućnih aparata itd.PROIZVODI:RAVNI PROIZVODI- LIMOVIVARENI ŠUPLJI PROFILI- ŠAVNE CEVIUSLUGE PRERADE:Ravnanje i poprečno sečenje limova u rolni na zadatu meruSlitovanjeSkladištenje i manipulacijarezanje Rezanje elemenata na hidrauličnim makazamaIzrada hladnooblikovanih profila,METALNE KONSTRUKCIJE,Direktor,Bojan Ilić,,+381 64 130 1300,office@ssc.rs,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,21-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
STEINEMANN DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BAČKI JARAK,STEINEMANN DOO BAČKI JARAK ,Cara Lazara bb 21234 Bački Jarak Temerin,08670277,101876024,330-0070100024673-70,Društvo sa ograničenom odgovornošću,3.2.1998.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 21 848 307+381 63 594 117,,,USLUGE:proizvodnja metalnih konstrukcija za građevinarstvo (stubova greda konstrukcija za mostove i sl.)proizvodnja industrijskih okvira od metala (skeleta za visoke peći opreme za podizanje i manipulaciju i dr.)proizvodnja montažnih zgrada od metala (barake hale i drugi modularni elemenati za izložbe…),METALNE KONSTRUKCIJE,Finance and Executive Director,Goran Milović,https://www.linkedin.com/in/goran-milovic,+381 63 594 118,goran.milovic@steinemann-doo.rs,Account Specialist,Jelena Žuljević,https://www.linkedin.com/in/jelena- žuljević,,jelena.zuljevic@steinemann-doo.rs,Engineering & Design Manager,Srđan Stambolija,https://www.linkedin.com/in/srđan-stambolija,,,Plant Manager,Nenad Orelj,https://www.linkedin.com/in/nenad-orelj,,,25-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU TEHNOMARKET PANČEVO,TEHNOMARKET DOO PANČEVO,SKADARSKA 73 26000 Pančevo,08179905,101053888,165-0000000000432-10,Društvo sa ograničenom odgovornošću,7.2.1990.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 13 307 700,,,TEHNOMARKET je kompanija specijalizovana za aluminijumske konstrukcije sa primenom u građevinarstvu.PROIZVODI:Sistemi aluminijumskih profilaKompozitni paneliGotovi proizvodi (alumiijumski prozori i vrata)USLUGE:CNC obrada i savijanje profila i kompozitnih panela uslužna ekstruzija i plastifikacija.,METALNE KONSTRUKCIJE,Head Of Research and Development,Stefan Zailac,https://www.linkedin.com/in/stefan-zailac,,,General Manager,Miroljub - Miki Krsanin,https://www.linkedin.com/in/miroljub-miki-krsanin,,,Quality Control Manager,Bojan Slović,https://www.linkedin.com/in/bojan-slovic,,,Production Manager,Žarko Labović,https://www.linkedin.com/in/žarko-labović,,,04-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE UNIPROMET DOO ČAČAK,UNIPROMET DOO ČAČAK,BULEVAR OSLOBODILACA ČAČKA 92A 32103 ČAČAK,07364954,101297718,155-0070100121822-29,Društvo sa ograničenom odgovornošću,10.12.1989.,Proizvodnja metalnih konstrukcija i delova konstrukcija,,,,Bave se proizvodnjom i ugradnjom zaštitnih ograda aluminijumskih panela za zaštitu od buke i drugom opremom za puteve (pešačke ograde portali stubovi za vertikalnu signalizaciju...),METALNE KONSTRUKCIJE,CEO,Aleksandar Smiljanić,https://www.linkedin.com/in/aleksandar-smiljanić,,,Izvršni direktor za R&D,Nemanja S. Petrović,https://www.linkedin.com/in/nemanja-petrovic,,,Direktor kontrole kvaliteta,Đorđe Joksić,https://www.linkedin.com/in/đorđe-joksić,,,Project manager,,,,,11-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AKCIONARSKO DRUŠTVO ZA PROIZVODNJU SILOSA PROFILA I OPREME UTVA SILOSI KOVIN,UTVA SILOSI AD KOVIN,Dunavska 46 26220 Kovin,08196575,101406441,160-0050100035801-44,Akcionarsko društvo,6.7.1990.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381 13 747 484+381 13 741 484 +381 13 741 494 +381 13 741 671 +381 13 741 625,, office@utva.rs,Društvo za proizvodnju silosa profila i opreme.PROIZVODI:linija za ravnanje i sečenje limova u tablelinija za uzdužno rezanječelične šavne cevi okrugle pravougaone i kvadratne profili za građevinsku bravarijuhladno oblikovani profilizaštitne ograde za putevečelične trake sa oborenim ivicamačelična pocinkovana traka za uzemljenjesilosi i silosna opremaprogram izrade istegnutog metalazavojnice – spirale – pužni transporteriizrada i montaža objekatakontejneri za smećeprogram ogradanoseće koturaljke za klizna i harmonika vrata,METALNE KONSTRUKCIJE,Direktor,Sava Krstić,,+381 13 744 045,sava.krstic@utva.rs,Izvršni direktor Tehničkog sektora,Savo Jelić,,,,Izvršni direktor Sektora tehničke pripreme i razvoja,Milan Vukosavljević,,,,Production development and preparation manager,Mileta Djuričanin,https://www.linkedin.com/in/mileta-djuricanin,,,21-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ČELIK DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I MONTAŽU METALNE KONSTRUKCIJE BAČKI JARAK,ČELIK DOO BAČKI JARAK,Novosadska 119 21234 Bački Jarak,08059012,101875185,160-0050100094492-26,Društvo sa ograničenom odgovornošću,24.4.2003.,Proizvodnja metalnih konstrukcija i delova konstrukcija,+381(0)21/847-290,,.office@celikdoo.rs,Bave se izvođenjem građevinskih i zanatskih radova. Posebno su specijalizovani za proizvodnju i montažu čelične konstrukcije građevinske bravarije pokrivanje i oblaganje proizvodnih i sportskih hala autosalona hladnjača i objekata drugih namena prema zahtevu i projektu investitora. USLUGE:REZANJE PLAZMOMSEČENJE LIMOVA NA MAKAZAMASAVIJANJE LIMOVA NA PRESIREZANJE PROFILA NA TESTERISAČMARENJEANALIZIRA I TEHNIČKA PODRŠKAPROJEKTOVANJEPROIZVODNJAMONTAŽAGRADNJA PO SISTEMU „KLJUČ U RUKE“,METALNE KONSTRUKCIJE,Vlasnik,Željko Rosić,,,,Head of production,Nemanja Negovanović,https://www.linkedin.com/in/nemanjaneg,,,Civil Engineer IWE/EWE and VT2 in the QA/QC ,Nenad Ćatić,,,,Civil Engineer,Dragan Dragičević,https://www.linkedin.com/in/dragan-dragicevic,,,21-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
FRITEL DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU SEVOJNO,FRITEL DOO SEVOJNO,SARIĆA OSOJE BB 31205 SEVOJNO,17298976,100602026,220-0000000031111-73,Društvo sa ograničenom odgovornošću,20.2.2001.,Kovanje presovanje štancovanje i valjanje metala; metalurgija praha,+381 31 562 050,, fritel.sevojno@gmail.com,Bave se izradom mufova i štucni presovanjem bakalita i brizganjem plastike.PROZVODI:CEVNI NAVOJIŠARKESTOPICEKAPE ČEPOVI ROZETNERUČKEDUGME TERMOSTATAVIBRO ODSTOJNIK,METALURGIJA PRAHA,Direktor,Marko Ajdačić,,+381 63 632 037,,Direktor,Lazar Ajdačić,,+381 63 632 887,,Direktor kvaliteta,,,,,Project manager,,,,,28-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
METAL KONSTRUKT DOO BAČKA TOPOLA,METAL KONSTRUKT DOO BAČKA TOPOLA,INDUSTRIJSKI REON BB 24300 Bačka Topola,20188146,104578064,325-9601500212576-29,Društvo sa ograničenom odgovornošću,25.7.2006.,Kovanje presovanje štancovanje i valjanje metala; metalurgija praha,,mkonstrukt@gmail.com,,USLUGE:kovanje presovanje štancovanje i valjanje metalametalurgiju praha: proizvodnju metalnih predmeta neposredno iz metalnog praha zagrevanjem (sinterovanjem) ili pod pritiskom,METALURGIJA PRAHA,DirektorIštvan Bača,,,+381 063 362-011,yuistvan@freemail.hu,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,06-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU METALNE GALANTERIJE PEKOM INŽENJERING DOO KRALJEVO,PEKOM INŽENJERING DOO KRALJEVO,Jošanička 77 36000 KRALJEVO,20343613,105226068,330-0070100136250-86,Društvo sa ograničenom odgovornošću,17.10.2007.,Kovanje presovanje štancovanje i valjanje metala; metalurgija praha,+381 36 362739+381 64 2132929,, ,PROIZVODI:Montažni sistemiPerforirani nosači kablovaLestvičasti nosači kablovaNosači kablova za veliki rasponMrežasti nosači kablovaE-90 Vatrootporni nosači kablovaNosači kablova za rasvetuNosači kablova od inox-aPlastificirani nosači kablovaTunelski sistemi nosača kablovaPričvrsni sistemi,METALURGIJA PRAHA,CEO,Marko Peković,https://www.linkedin.com/in/marko-peković,,,COO,Draško Veličković,https://www.linkedin.com/in/draško-veličković,,,Export Sales Network Development Manager,Marko Stojanović,https://www.linkedin.com/in/marko-stojanovic,,,Project manager,,,,,11-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PERFOM POŽEGA,DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PERFOM POŽEGA,Knjaza Miloša 165 a 31210 POŽEGA,07972202,100859694,205-0000000199869-38,Društvo sa ograničenom odgovornošću,8.4.1992.,Kovanje presovanje štancovanje i valjanje metala; metalurgija praha,+381 31 825 051+381 65 825 05 33,,,Proizvode za industrije: poljoprivrede rudarstva građevine brodogradnje procesne industrije industrije hrane i pića pekarske industrije HAVAC mašinogradnje auto-industrije industrijskog održavanja…Perfom je tehnološki i kadrovski najopremljenije preduzeće u sektoru proizvodnje i prerade perforiranih limova.PROIZVODI:-Perforirani limovi- Orebreni limovi- Perforirana sita i filteri- Delovi i komponente- Protivklizna gazišta- Rešetkasta varena gazišta- Proizvodi za arhitekturu- Perforirani nosači kablova- Metalna galanterija- Proizvodi za pekarstvo,METALURGIJA PRAHA,Development department,Goran Ilić,,+381 65 825 05 25,goran.ilic@perform.rs,Alatnica,Dušan Petrović,,+381 61 192 95 92,dusan.petrovic@perform.rs,Direktor kvaliteta,,,,,Project manager,,,,,16-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET OTKOVAKA ZASTAVA KOVAČNICA KRAGUJEVAC,ZASTAVA KOVAČNICA AD KRAGUJEVAC,Kosovska 4b 34000 KRAGUJEVAC,07631634,100562605,295-0000000106588-60,Akcionarsko društvo,28.12.1994.,Kovanje presovanje štancovanje i valjanje metala; metalurgija praha,+381 34 617 00 60,, biro@zastava-kovacnica-kg.rs,Bave se proizvodnjom otkovaka u toplom stanju u normalnom i preciznom stepenu tečnosti kao i hladno kovane precizne otkovke.Program proizvodnje čine i otkovci za: putnička vozila kamione traktore lovačko i sportsko oružje poljoprivredne i priključne mašine poljoprivredni ručni alat.U proizvodnom program nalazi se i kompletan asortiman za železnicu kao i železnički pribor.Vrše finalnu obradu otkovaka na CNC glodalicama i CNC strugovima izradu kovačkih alata po sopstvenoj tehnologiji i programima u okviru alatnice.Vrše i izradu varenih i mehanički obrađivanih sklopova za potrebe poljoprivrede i opšte industrije.,METALURGIJA PRAHA,Izvršni direktor,Darko Milenković,,+381 34 617 00 60,direktor@zastava-kovacnica-kg.rs,Pomoćnik direktora Za proizvodnju i održavanje,Srećko Žižaković,,+381 63 695 029+381 34 617 00 53,proizvodnja@zastava-kovacnica-kg.rs,Direktor direkcije za TTP razvoj proizvoda i procesa investicije,Dragana Žižaković,,+381 66 80 22 979,tehnika@zastava-kovacnica-kg.rs,Rukovodilac sektora za izradu alata i mehanicku obradu,Milan Sedlarević,https://www.linkedin.com/in/milan-sedlarevic,+381 69 801 3283,alatnica@zastava-kovacnica-kg.rs,LinkedIn
DRUŠTVO ZA PROIZVODNJU PROMET I USLUGE AGROMARKET DOO KRAGUJEVAC,AGROMARKET DOO KRAGUJEVAC,Kraljevačkog bataljona 235/2 34000 KRAGUJEVAC,07593252,102135221,105-0000003070743-84,Društvo sa ograničenom odgovornošću,18.12.1990.,Nespecijalizovana trgovina na veliko,+381 34 200 784+381 34 200 645,, office@agromarketlogistic.rs,Agromarket je proizvođač zastupnik i distributer širokog portfolia proizvoda. Bave se veleprodajom i maloprodajom osnovnog repromaterijala za primarnu poljoprivrednu proizvodnju.,NESPECIJALIZOVANA TRGOVINA,Šef službe za istraživanje i razvoj u garden sektoru,Nikola Adžemović,,+381 63 10 58 096,nikola.adzemovic@agromarket.rs,Research and development,Strahinja Starčević,https://www.linkedin.com/in/strahinja-s-9088b9b3,+381 63 113 06 07,strahinja.starcevic@agromarket.rs,Direktor kvaliteta,,,,,Project manager,,,,,22-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AIGO BUSINESS SYSTEM DOO BEOGRAD,AIGO BS DOO BEOGRAD,KNEGINjE ZORKE 25-27 11000 BEOGRAD,20362472,105362637,160-0000000285871-40,Društvo sa ograničenom odgovornošću,14.12.2007.,Trgovina na veliko računarima računarskom opremom i softverima,+381 11 65 55 294 - Servis+381 11 65 55 295 – Servis+381 11 20 90 800 - Centrala,, ; servis@aigo.rs,AIGO nudi multivendorska IT rešenja za uspostavljanje efikasnog i integrisanog sistema operacija za uspešno poslovanje. Pružamo usluge iz oblasti konsaltinga dizajna rešenja implementacije i redovnog servisa za mala srednja i velika preduzeća.USLUGE:Biznis rešenjaPrinting rešenjaInfrastrukturna rešenjaSoftverska rešenjaOutsourcingServisna rešenja,NESPECIJALIZOVANA TRGOVINA,Quality Specialist,Ljubica Knezević,https://www.linkedin.com/in/ljubica-knezevic,+381 69 829 3020,Ljubica.knezevic@aigo.rs,Product Manager,Nenad Djukić,https://www.linkedin.com/in/nenad-djukic,,,Key Account Manager,Uroš Andjelković,https://www.linkedin.com/in/uroš-andjelković,,,Service Administration & Procurement Team Coordinator,Đorđe Kadar,https://www.linkedin.com/in/đorđe-kadar,,,21-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AIR-G doo BEOGRAD-RAKOVICA,AIR-G doo,Vidikovački venac 104A 11090 BEOGRAD-RAKOVICA,21356042,110497093,325-9601500390562-56,Društvo sa ograničenom odgovornošću,29.1.2018.,Nespecijalizovana trgovina na veliko,+381 11 2322 741,, airg.beograd@gmail.com,Inženjering prodaja proizvodnja I servis opreme za brizganje tehnologije doziranja industrijske i sanitarne opreme.Pokrivaju sledeće oblasti: prskanje ekstruzija doziranje merenje i transport materijala.,NESPECIJALIZOVANA TRGOVINA,Vlasnik,Branislav Mijušković,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,27-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU INŽENJERING TRGOVINU I USLUGE ALBO DOO BEOGRAD (ZEMUN),ALBO DOO ZEMUN,MAJORA ZORANA RADOSAVLjEVIĆA 347 11273 BEOGRAD,07924011,100106290,220-0000000140441-40,Društvo sa ograničenom odgovornošću,5.5.1992.,Nespecijalizovana trgovina na veliko,+381 11 78 70 790,, info@albo.biz,Kompanija Albo lider je u oblasti bezbednosti na radu. Bave se snadbevanjem kopanija ličnom zaštitnom opremom kompanija.PROIZVODI:LIČNA ZAŠTITNA OPREMA (Odeća Obuća Zaštitne rukavice Zaštita disajnih organa Zaštita očiju i licA Zaštita glave Zaštita sluha Protivpadna oprema)HIGIJENA I BEZBEDNOST RADNOG MESTA (Saobraćajna i bezbednosna signalizacija Industrijska higijena i bezbednost Profesionalna hemija Papirna Galanterija Sredstva za rad Prva pomoć i apoteke Protivpožarna oprema),NESPECIJALIZOVANA TRGOVINA,Direktor,Slobodan Nešković,https://www.linkedin.com/in/slobodan-neskovic,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,27-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO ZA TRGOVINU OBOJENIM METALIMA ALCU METALI DOO MRAMOR,ALCU METALI DOO NIŠ,Mramorsko brdo bb 18251 MRAMOR Niš,17527541,103127656,105-0161200001399-70,Društvo sa ograničenom odgovornošću,29.10.2003.,Trgovina na veliko metalima i metalnim rudama,+381 18 4694 347+381 18 4694 805+381 18 4694 806+381 18 4694 807+381 18 4694 537,, office.rs@alcu.si,Specijalizovani za trgovinu obojenim metalima: aluminijum mesing bakar bronza I olovo.Proizvodi: Limovi i ploče šipke i cevi svih oblika profili svih dimenzija žice za varenje,NESPECIJALIZOVANA TRGOVINA,Direktor,Zoran Jović,zoran.jovic@alcu.si,+381 (0)18 4694 537 +381 (0)63 314 100,zoran.jovic@alcu.si,Finansije,Jelena Panić,,+381 (0)18 4694 807 +381 (0)63 77 55 150,panic.jelena@alcu.si,FinansijeSanja Stanković,,,+381 (0)18 4694 807 +381 (0)63 77 55 150,stankovic.sanja@alcu.si,Komercijala,Vlada Momirović,,+381 (0)18 4694 805 +381 (0)63 663 785,momirovic.vlada@alcu.si,27-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
